AdjustedWkt,Description
POINT (160 52.1),NAVAREA XIII 41/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 05 TO 07 12 TO 17 MAY   IN AREA 52-06N 160-00E 52-14N 160-00E 52-14N 160-30E 52-06N 160-30E   2. CANCEL THIS MESSAGE 181000 UTC MAY 19
POINT (160 52.233333333333334),NAVAREA XIII 41/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 05 TO 07 12 TO 17 MAY   IN AREA 52-06N 160-00E 52-14N 160-00E 52-14N 160-30E 52-06N 160-30E   2. CANCEL THIS MESSAGE 181000 UTC MAY 19
POINT (160.5 52.233333333333334),NAVAREA XIII 41/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 05 TO 07 12 TO 17 MAY   IN AREA 52-06N 160-00E 52-14N 160-00E 52-14N 160-30E 52-06N 160-30E   2. CANCEL THIS MESSAGE 181000 UTC MAY 19
POINT (160.5 52.1),NAVAREA XIII 41/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 05 TO 07 12 TO 17 MAY   IN AREA 52-06N 160-00E 52-14N 160-00E 52-14N 160-30E 52-06N 160-30E   2. CANCEL THIS MESSAGE 181000 UTC MAY 19
POINT (159.28333333333333 52.333333333333336),NAVAREA XIII 42/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 05 TO 07 12 TO 17 MAY   IN AREA 52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 181000 UTC MAY 19
POINT (159.28333333333333 52.75),NAVAREA XIII 42/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 05 TO 07 12 TO 17 MAY   IN AREA 52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 181000 UTC MAY 19
POINT (160.21666666666667 52.75),NAVAREA XIII 42/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 05 TO 07 12 TO 17 MAY   IN AREA 52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 181000 UTC MAY 19
POINT (160.21666666666667 52.333333333333336),NAVAREA XIII 42/19   KAMCHATKA EAST COAST   CHART RUS 62279   1. MISSILE AND GUNNERY EXERCISES   FOR 13 HOURS FROM 2000 UTC 05 TO 07 12 TO 17 MAY   IN AREA 52-20N 159-17E 52-45N 159-17E 52-45N 160-13E 52-20N 160-13E   2. CANCEL THIS MESSAGE 181000 UTC MAY 19
POINT (135.84166666666667 43.883333333333333),NAVAREA XIII 44/19   SEA OF JAPAN   CHART RUS 62005   1. AREA TEMPORARILY DANGEROUS TO NAVIGATION   FOR 12 HOURS FROM 2200 UTC 12 TO 24 MAY 43-53.0N 135-50.5E   44-20.0N 136-06.0E 44-20.0N 136-30.0E 43-53.0N 136-15.5E   2. CANCEL THIS MESSAGE 251100 UTC MAY 19
POINT (136.1 44.333333333333336),NAVAREA XIII 44/19   SEA OF JAPAN   CHART RUS 62005   1. AREA TEMPORARILY DANGEROUS TO NAVIGATION   FOR 12 HOURS FROM 2200 UTC 12 TO 24 MAY 43-53.0N 135-50.5E   44-20.0N 136-06.0E 44-20.0N 136-30.0E 43-53.0N 136-15.5E   2. CANCEL THIS MESSAGE 251100 UTC MAY 19
